All Dependencies for Puppet
Package Title,Version,Authors,Description,Declared License,Discovered License(s),Package Manager,Package Homepage,
"git",1.3.0,"Scott Chacon and others","Ruby/Git is a Ruby library that can be used to create, read and manipulate Git repositories by wrapping system calls to the git binary.","MIT","",RubyGem,"http://github.com/schacon/ruby-git",
"csv",3.1.2,"James Edward Gray II, Kouhei Sutou","The CSV library provides a complete interface to CSV files and data. It offers tools to enable you to read and write to and from Strings or IO objects, as needed.","BSD-2-Clause","BSD-3-Clause",RubyGem,"https://github.com/ruby/csv",
"lock_manager",0.1.5,"Puppet Labs","A simple interface for locking hardware resources available via ruby and backed by redis.","Apache-2.0","",RubyGem,"http://github.com/puppetlabs/lock_manager",
"fustigit",0.1.4,"Ryan McKern","""Parse"" SCP-like address triplets with the Standard Ruby URI Library.","Apache-2.0","",RubyGem,"http://github.com/mckern/fustigit",
"docopt",0.6.1,"Blake Williams, Vladimir Keleshev, Alex Speller, Nima Johari","Isn't it awesome how `optparse` and other option parsers generate help and usage-messages based on your code?! Hell no!
You know what's awesome? It's when the option parser *is* generated based on the help and usage-message that you write in a docstring! That's what docopt does!","MIT","",RubyGem,"http://github.com/docopt/docopt.rb",
"vanagon",0.15.33,"Puppet Labs","Vanagon is a tool to build a single package out of a project, which can itself contain one or more components.","Apache-2.0","",RubyGem,"http://github.com/puppetlabs/vanagon",
"release-metrics",1.1.0,"Puppet, Inc.","null","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/release-metrics",
"redis",3.3.5,"Ezra Zygmuntowicz, Taylor Weibley, Matthew Clark, Brian McKinney, Salvatore Sanfilippo, Luca Guidi, Michel Martens, Damian Janowski, Pieter Noordhuis","    A Ruby client that tries to match Redis' API one-to-one, while still
    providing an idiomatic interface.
","MIT","",RubyGem,"https://github.com/redis/redis-rb",
"packaging",0.99.61,"Puppet Labs","Packaging automation written in Rake and Ruby. Easily build native packages for most platforms with a few data files and git.","Apache-2.0","",RubyGem,"http://github.com/puppetlabs/packaging",
"rake",13.0.1,"Hiroshi SHIBATA, Eric Hodel, Jim Weirich","Rake is a Make-like program implemented in Ruby. Tasks and dependencies are
specified in standard Ruby syntax.

Rake has the following features:

* Rakefiles (rake's version of Makefiles) are completely defined in
  standard Ruby syntax.  No XML files to edit.  No quirky Makefile
  syntax to worry about (is that a tab or a space?)

* Users can specify tasks with prerequisites.

* Rake supports rule patterns to synthesize implicit tasks.

* Flexible FileLists that act like arrays but know about manipulating
  file names and paths.

* A library of prepackaged tasks to make building rakefiles easier. For example,
  tasks for building tarballs and publishing to FTP or SSH sites.  (Formerly
  tasks for building RDoc and Gems were included in rake but they're now
  available in RDoc and RubyGems respectively.)

* Supports parallel execution of tasks.","MIT","",RubyGem,"https://github.com/ruby/rake",
"octokit",4.18.0,"Wynn Netherland, Erik Michaels-Ober, Clint Shryock","Simple wrapper for the GitHub API","MIT","",RubyGem,"https://github.com/octokit/octokit.rb",
"winrm",2.3.4,"Dan Wanek, Paul Morton, Matt Wrock, Shawn Neal","    Ruby library for Windows Remote Management
","Apache-2.0","",RubyGem,"https://github.com/WinRb/WinRM",
"faraday-http-cache",2.2.0,"Lucas Mazza, George Guimarães","Middleware to handle HTTP caching","Apache-2.0","",RubyGem,"https://github.com/plataformatec/faraday-http-cache",
"CFPropertyList",2.3.6,"Christian Kruse","This is a module to read, write and manipulate both binary and XML property lists as defined by apple.","MIT","",RubyGem,"http://github.com/ckruse/CFPropertyList",
"rspec-expectations",3.9.1,"Steven Baker, David Chelimsky, Myron Marston","rspec-expectations provides a simple, readable API to express expected outcomes of a code example.","MIT","",RubyGem,"https://github.com/rspec/rspec-expectations",
"multipart-post",2.1.1,"Nick Sieger, Samuel Williams","Use with Net::HTTP to do multipart form posts.  IO values that have #content_type, #original_filename, and #local_path will be posted as a binary file.","MIT","",RubyGem,"https://github.com/nicksieger/multipart-post",
"net-scp",1.2.1,"Jamis Buck, Delano Mandelbaum, Miklós Fazekas","A pure Ruby implementation of the SCP client protocol","MIT","LGPL-2.1-only",RubyGem,"https://github.com/net-ssh/net-scp",
"json",2.1.0,"Florian Frank","This is a JSON implementation as a Ruby extension in C.","Ruby","",RubyGem,"http://json-jruby.rubyforge.org/",
"aws-sdk-core",3.94.0,"Amazon Web Services","Provides API clients for AWS. This gem is part of the official AWS SDK for Ruby.","Apache-2.0","",RubyGem,"http://github.com/aws/aws-sdk-ruby",
"honeycomb-beeline",2.0.0,"Martin Holman","null","Apache-2.0","",RubyGem,"https://honeycomb.io",
"log4r",1.1.10,"Colby Gutierrez-Kraybill","See also: http://logging.apache.org/log4j","","Multi-license: public-domain OR GPL-3.0-only",RubyGem,"http://log4r.rubyforge.org",
"simplecov-html",0.12.2,"Christoph Olszowka","Default HTML formatter for SimpleCov code coverage tool for ruby 1.9+","MIT","Multi-license: GPL-2.0-only OR MIT",RubyGem,"https://github.com/colszowka/simplecov-html",
